"","coded_country","Political_score","Average_vaccinated","gdp_per_person","Ladder_score","Average_deaths_per_week","Average_labour_rate"
"132","Mozambique",-0.650063931941986,14.8916216216216,1136.103,4.79449987411499,NA,NA
"133","Mauritania",-0.961429834365845,16.004,3597.633,4.2273998260498,NA,NA
"134","Martinique",0.735755622386932,NA,NA,NA,NA,NA
"135","Mauritius",0.882513642311096,95.4897058823529,20292.745,6.04899978637695,NA,NA
"136","Malawi",-0.473825514316559,4.10591346153846,1095.042,3.59999990463257,NA,NA
"137","Malaysia",0.98675674200058,72.0934083601286,26808.164,5.38430023193359,NA,NA
"138","Namibia",0.134519279003143,5.70773722627737,9541.808,4.57410001754761,NA,NA
"139","Niger",-0.652889311313629,1.63333333333333,926,5.07410001754761,NA,NA
"140","Nigeria",-1.10223460197449,1.95659574468085,5338.454,4.75930023193359,NA,NA
"141","Nicaragua",-0.893715918064117,32.4569565217391,5321.444,5.97209978103638,NA,NA
"142","Niue",-0.978229522705078,70.636,NA,NA,NA,NA
"143","Netherlands",1.82099711894989,76.2061538461539,48472.545,7.46400022506714,393.359817813764,80.125
"144","Norway",1.83171236515045,81.1078630136986,64800.057,7.39249992370605,88.0074392712546,76.2666666666667
"145","Nepal",-0.920482873916626,23.8242,2442.804,5.26889991760254,NA,NA
"146","Nauru",-0.582938611507416,62.4481818181818,12895.635,NA,NA,NA
"147","New Zealand",1.87170588970184,58.3466457680251,36085.843,7.2765998840332,130.943881118881,78.34847
"148","Oman",0.233887895941734,24.5444736842105,37960.709,NA,NA,NA
"149","Pakistan",-0.833723247051239,27.1465714285714,5034.708,4.93400001525879,NA,NA
"150","Panama",0.130668714642525,38.172125,22267.037,6.17959976196289,NA,NA
"151","Palau",-0.582938611507416,NA,13240.405,NA,NA,NA
"152","Peru",-0.206647053360939,50.0639570552147,12236.706,5.83960008621216,NA,NA
"153","Philippines",0.189581170678139,25.4628415300546,7599.188,5.8801999092102,NA,NA
"154","Papua New Guinea",-0.716937601566315,1.34961538461538,3823.194,NA,NA,NA
"155","Poland",0.596360862255096,59.5497674418605,27216.445,6.166100025177,1331.38001012146,70.2916666666667
"156","Puerto Rico",0.334075838327408,NA,35044.67,NA,NA,NA
"157","Korea, Dem. Rep.",-1.87601327896118,NA,NA,NA,NA,NA
"158","Portugal",0.92124593257904,91.4715094339623,27936.896,5.92899990081787,287.231730769231,69.7833333333333
"159","Paraguay",-0.84945946931839,21.8771090047393,8827.01,5.65259981155396,NA,NA
"160","Qatar",0.760745763778687,126.148226415094,116935.6,NA,NA,NA
"161","Réunion",0.990145206451416,NA,NA,NA,NA,NA
"162","Romania",-0.194315671920776,39.3098901098901,23313.199,6.1399998664856,NA,NA
"163","Russian Federation",-0.601444661617279,NA,NA,NA,NA,NA
"164","Rwanda",-0.0210469923913479,14.8281355932203,1854.211,3.41470003128052,NA,NA
"165","Samoa",0.0552023649215698,53.6720689655172,6021.557,NA,NA,NA
"166","Saudi Arabia",-0.317042857408524,71.6199680511182,49045.411,6.49399995803833,NA,NA
"167","Sudan",-1.41596949100494,1.67913043478261,4466.507,NA,NA,NA
"168","Senegal",-0.496339857578278,2.93427083333333,2470.58,5.13180017471313,NA,NA
"169","Singapore",2.19381713867188,100.284164383562,85535.383,6.37650012969971,NA,NA
"170","Solomon Islands",-0.908538818359375,10.2811111111111,2205.923,NA,NA,NA
"171","Sierra Leone",-1.18952429294586,2.14807692307692,1390.3,3.84940004348755,NA,NA
"172","El Salvador",-0.109997875988483,71.3545161290322,7292.458,6.0605001449585,NA,NA
"173","Somalia",-2.15188980102539,2.33826086956522,NA,NA,NA,NA
"174","São Tomé and Principe",-0.752287983894348,NA,NA,NA,NA,NA
"175","Suriname",-0.123884543776512,45.6456872037915,13767.119,NA,NA,NA
"176","Slovak Republic",0.776584029197693,NA,NA,NA,203.545951417004,69.425
"177","Slovenia",0.97692596912384,61.9048888888889,31400.84,6.46070003509521,57.5002024291495,71.3583333333333
"178","Sweden",1.92519795894623,78.3449019607843,46949.283,7.36269998550415,180.935070850201,75.3416666666667
"179","Eswatini",-0.521195828914642,13.9487234042553,7738.975,NA,NA,NA
